pin_function_invocation~!~0|_start|0
pin_variable_access~!~10|78|"mov edx, dword ptr [rbp-0x34]"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_pointer_access~!~10|79|"mov dword ptr [rbp+rax*4-0x30], edx"|0x00007ffc4dfbb260|4|00000001|00000000|70|7ffc4dfbb290
pin_variable_access~!~11|80|"mov eax, dword ptr [rbp-0x34]"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_pointer_access~!~11|81|"mov eax, dword ptr [rbp+rax*4-0x30]"|0x00007ffc4dfbb260|4||70|7ffc4dfbb290
pin_variable_access~!~11|82|"mov eax, dword ptr [rbp-0x34]"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_pointer_access~!~11|83|"mov dword ptr [rax*4+0x601060], edx"|0x0000000000601060|4|00000000|00000001|70|7ffc4dfbb290
pin_variable_access~!~9|84|"add dword ptr [rbp-0x34], 0x1"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_variable_access~!~9|85|"add dword ptr [rbp-0x34], 0x1"|0x00007ffc4dfbb25c|4|00000000|00000001|70|7ffc4dfbb290
pin_variable_access~!~9|86|"cmp dword ptr [rbp-0x34], 0x9"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_variable_access~!~10|87|"mov eax, dword ptr [rbp-0x34]"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_variable_access~!~10|88|"mov edx, dword ptr [rbp-0x34]"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_pointer_access~!~10|89|"mov dword ptr [rbp+rax*4-0x30], edx"|0x00007ffc4dfbb264|4|00000000|00000001|70|7ffc4dfbb290
pin_variable_access~!~11|90|"mov eax, dword ptr [rbp-0x34]"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_pointer_access~!~11|91|"mov eax, dword ptr [rbp+rax*4-0x30]"|0x00007ffc4dfbb264|4||70|7ffc4dfbb290
pin_variable_access~!~11|92|"mov eax, dword ptr [rbp-0x34]"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_pointer_access~!~11|93|"mov dword ptr [rax*4+0x601060], edx"|0x0000000000601064|4|00000000|00000002|70|7ffc4dfbb290
pin_variable_access~!~9|94|"add dword ptr [rbp-0x34], 0x1"|0x00007ffc4dfbb25c|4||70|7ffc4dfbb290
pin_variable_access~!~9|95|"add dword ptr [rbp-0x34], 0x1"|0x00007ffc4dfbb25c|4|00000001|00000002|70|7ffc4dfbb290
