0,_start,0
28,__libc_start_main@plt,0
43,__libc_csu_init,4005e0
85,_init,1
116,register_tm_clones,1
178,main,4005e0
192,foo,7ffc2bd23f10
214,bar,7ffc2bd23f10
497,__do_global_dtors_aux,7ffc2bd23ed0
512,deregister_tm_clones,7ffc2bd23e00
542,_fini,7ffc2bd23ed0
